PERMNO,date,TICKER,COMNAM,RET
18163,19760331,PG,PROCTER & GAMBLE CO,0.066274
18163,19760430,PG,PROCTER & GAMBLE CO,-0.013260
18163,19760528,PG,PROCTER & GAMBLE CO,-0.004225
18163,19760630,PG,PROCTER & GAMBLE CO,0.073550
18163,19760730,PG,PROCTER & GAMBLE CO,0.017655
18163,19760831,PG,PROCTER & GAMBLE CO,-0.009115
18163,19760930,PG,PROCTER & GAMBLE CO,0.015769
18163,19761029,PG,PROCTER & GAMBLE CO,-0.011125
18163,19761130,PG,PROCTER & GAMBLE CO,-0.014474
18163,19761231,PG,PROCTER & GAMBLE CO,0.000000
18163,19770131,PG,PROCTER & GAMBLE CO,-0.073164
18163,19770228,PG,PROCTER & GAMBLE CO,-0.043541
18163,19770331,PG,PROCTER & GAMBLE CO,-0.040971
18163,19770429,PG,PROCTER & GAMBLE CO,-0.010759
18163,19770531,PG,PROCTER & GAMBLE CO,-0.043548
18163,19770630,PG,PROCTER & GAMBLE CO,0.080944
18163,19770729,PG,PROCTER & GAMBLE CO,0.003432
18163,19770831,PG,PROCTER & GAMBLE CO,0.081505
18163,19770930,PG,PROCTER & GAMBLE CO,-0.013043
18163,19771031,PG,PROCTER & GAMBLE CO,-0.018796
18163,19771130,PG,PROCTER & GAMBLE CO,0.030166
18163,19771230,PG,PROCTER & GAMBLE CO,0.005857
18163,19780131,PG,PROCTER & GAMBLE CO,-0.073945
18163,19780228,PG,PROCTER & GAMBLE CO,-0.026941
18163,19780331,PG,PROCTER & GAMBLE CO,-0.034202
18163,19780428,PG,PROCTER & GAMBLE CO,0.150084
18163,19780531,PG,PROCTER & GAMBLE CO,0.013314
18163,19780630,PG,PROCTER & GAMBLE CO,0.004380
18163,19780731,PG,PROCTER & GAMBLE CO,0.059593
18163,19780831,PG,PROCTER & GAMBLE CO,-0.035961
18163,19780929,PG,PROCTER & GAMBLE CO,-0.001435
18163,19781031,PG,PROCTER & GAMBLE CO,-0.043103
18163,19781130,PG,PROCTER & GAMBLE CO,0.039394
18163,19781229,PG,PROCTER & GAMBLE CO,0.036443
18163,19790131,PG,PROCTER & GAMBLE CO,-0.040788
18163,19790228,PG,PROCTER & GAMBLE CO,-0.038462
18163,19790330,PG,PROCTER & GAMBLE CO,-0.003077
18163,19790430,PG,PROCTER & GAMBLE CO,-0.001852
18163,19790531,PG,PROCTER & GAMBLE CO,0.007813
18163,19790629,PG,PROCTER & GAMBLE CO,-0.046512
18163,19790731,PG,PROCTER & GAMBLE CO,-0.024715
18163,19790831,PG,PROCTER & GAMBLE CO,0.080944
18163,19790928,PG,PROCTER & GAMBLE CO,-0.035881
18163,19791031,PG,PROCTER & GAMBLE CO,-0.027832
